artist_name,artist_genre
The Beatles,Rock
Elvis Presley,Rock
Michael Jackson,Pop
Madonna,Pop
Elton john,Pop
Led Zepellin,Blues rock
Pink Floyd,Progressive Rock
Rihanna,Pop
Eminem,Hip hop
Mariah Carey,Pop
Queen,Rock
Celine Dion,Pop
Whitney Houston,Soul
AC/DC,Rock
The Rolling Stones,Rock
ABBA,Disco
Taylor Swift,Pop
Garth Brooks,Country
Eagles,Rock
U2,Rock
Billy Joel,Rock
Phil Collins,Rock
Aerosmith,Hard rock
Frank Sinatra,Pop
Barbra Streisand,Pop
Justin Bieber,Pop
Kanye West,Hip hop
Bruno Mars,Pop
Ed Sheeran,Pop
Bruce Springsteen,Rock
Metallica,Heavy metal
Bee Gees,Pop
Lady Gaga,Pop
Katy Perry,Pop
Adele,Pop
Jay-Z,Hip hop
Lil Wayne,Hip hop
Beyonce,Pop
B’z,Hard rock
Coldplay,Rock
Bon Jovi,Hard rock
Linkin Park,Rock
Fleetwood Mac,Rock
Britney Spears,Pop
Rod Stewart,Rock
Guns N’ Roses,Hard rock
Backstreet Boys,Pop
George Strait,Country
Neil Diamond,Pop
Santana,Rock
Prince,Funk
Kenny Rogers,Country
Paul McCartney,Rock
Simon & Garfunkel,Rock
Janet Jackson,Pop
Julio Iglesias,Latin
Chicago,Rock
Dire Straits,Rock
Bob Dylan,Rock
Def Leppard,Heavy Metal
Cher,Pop
Genesis,Progressive Rock
Olivia Netwon-John,Rock
James Taylor,Funk
Stevie Wonder,Rock
David Bowie,Rock
Tina Turner,Rock
Linda Ronstadt,Pop
Donna Summer,Rock
The Beach Boys,Surf
The Who,Rock
Barry White,Soul
Drake,Hip hop
Marron 5,Rock
Shania Twain,Country
Pink,Pop
The Carpenters,Pop
Lionel Richie,Pop
"Earth, Wind & Fire",Funk
Johnny Cash,Country
Justin Timberlake,Pop
Chris Brown,Pop
Nicki Minaj,Hip hop
R.E.M,Rock
Flo Rida,Hip hop
Van Halen,Hard rock
Red Hot Chili Peppers,Rock
Foreigners,Rock
George Michael,Pop
The Doors,Rock
Reba McEntire,Country
Meat Loaf,Rock
Tom Petty,Rock
Jonny Hallyday,Rock
Black Eyed Peas,Hip hop
Journey,Rock
Tim McGraw,Country
Usher,Pop
Christina Aguilera,Pop
R. Kelly,Soul
Robbie Williams,Rock
Tupac,Hip hop
Alabama,Country
Bob Seger,Rock
Nirvana,Rock
Bryan Adams,Rock
Bob Marley,Reggae
The Police,Rock
Barry Manlow,Pop
Kiss,Hard rock
Aretha Franklin,Soul
